WRF_Day,WRF_Night,24hr_WRF,NWAC_Day,NWAC_Night,24hr_NWAC,OBS_Day,OBS_Night,24hour_OBS,initials
2.22,1.24,3.46,1.85,1.28,3.13,2.21,1.74,3.95,dd
0.11,0.45,0.56,0.18,0.37,0.55,0.14,0.84,0.98,rh
0.9,0,0.9,0.75,0.05,0.8,0.82,0.06,0.88,kk
0,0.24,0.24,0,0.25,0.25,0,0.42,0.42,kk
0.01,0.17,0.18,0.03,0.2,0.23,0.02,0.29,0.31,dd
0.21,0.19,0.4,0.43,0.21,0.64,0.18,0.07,0.25,dd
0.05,0.9,0.95,0.05,1.2,1.25,0.02,1.34,1.36,rh
0.65,0.68,1.33,1.15,0.65,1.8,1.45,0.78,2.23,rh
0.11,0.12,0.23,0.1,0.24,0.34,0.13,0.02,0.15,kk
0.52,0.5,1.02,0.44,0.65,1.09,0.48,0.27,0.75,dd
0.02,0.02,0.04,0.02,0.02,0.04,0,0,0,dd
0,0.8,0.8,0,0.75,0.75,0,0.68,0.68,rh
1.17,0.34,1.51,0.75,0.25,1,0.8,0.26,1.06,rh
0,0,0,0,0,0,0,0,0,dd
0,0.01,0.01,0,0,0,0,0,0,dd
0.45,0.71,1.16,0.45,0.3,0.75,0.35,0.12,0.47,rh
0.02,0,0.02,0.01,0,0.01,0.01,0,0.01,rh
0.56,1.97,2.53,0.5,1.5,2,0.33,1.39,1.72,rh
1.19,0.51,1.7,0.87,1.4,2.27,1.04,1.5,2.54,dd
0.51,0,0.51,0.52,0.01,0.53,0.43,0.02,0.45,dd
0,0,0,0,0,0,0,0,0,kk
0,0,0,0,0,0,0,0,0,kk
0,0.11,0.11,0,0.1,0.1,0,0.42,0.42,kk
1.4,0.21,1.61,1,0.38,1.38,1.36,0.48,1.84,dd
0.04,0,0.04,0.09,0.01,0.1,0.01,0,0.01,rh
0,0.23,0.23,0,0.23,0.23,0,0.08,0.08,rh
0.26,0.24,0.5,0.26,0.26,0.52,0.29,0.47,0.76,rh
0.14,0,0.14,0.25,0,0.25,0.24,0.02,0.26,dd
0.48,0.17,0.65,0.5,0.31,0.81,0.28,0.04,0.32,dd
0.11,0.42,0.53,0.15,0.45,0.6,0.16,0.65,0.81,rh
0.07,0,0.07,0.08,0,0.08,0.24,0,0.24,rh
0,0,0,0,0,0,0,0,0,rh
0,0,0,0,0,0,0,0,0,dd
0,0,0,0,0,0,0,0,0,dd
0,0,0,0,0,0,0,0,0,kk
0,0,0,0,0,0,0,0,0,kk
0,0,0,0,0.09,0.09,0,0.1,0.1,rh
0.06,0.83,0.89,0.14,0.77,0.91,0.27,0.81,1.08,rh
0.16,0.74,0.9,0.15,0.75,0.9,0.07,1.02,1.09,rh
0.18,0.07,0.25,0.49,0.1,0.59,0.64,0.18,0.82,dd
0,0,0,0,0,0,0,0.01,0.01,dd
0.01,0,0.01,0,0,0,0,0.01,0.01,rh
0.77,1.37,2.14,0.74,1.45,2.19,0.47,2.39,2.86,rh
0.36,0.01,0.37,0.63,0.03,0.66,0.68,0.1,0.78,dd
0,0,0,0,0,0,0.01,0,0.01,kk
0,0,0,0,0,0,0,0,0,rh
0,0,0,0,0,0,0,0,0,kk
0,0,0,0,0,0,0,0,0,kk
0,0,0,0,0,0,0,0,0,kk
0,0,0,0,0,0,0,0,0,rh
0,0,0,0,0,0,0,0,0,dd
0,0.03,0.03,0,0.04,0.04,0,0,0,dd
0.18,0.27,0.45,0.35,0.47,0.82,0.63,0.6,1.23,dd
0,0,0,0.02,0,0.02,0.01,0,0.01,kk
0.02,0.13,0.15,0.06,0.11,0.17,0.01,0.05,0.06,kk
0.16,0,0.16,0.08,0,0.08,0.12,0,0.12,kk
0,0,0,0,0,0,0,0,0,rh
0,0,0,0,0,0,0,0,0,dd
0,0,0,0,0,0,0,0,0,dd
0.08,0.28,0.36,0.13,0.37,0.5,0.12,0.4,0.52,dd
0.01,0.01,0.02,0.02,0,0.02,0.15,0,0.15,rh
0,0.44,0.44,0,0.47,0.47,0.02,0.49,0.51,rh
0.16,1.03,1.19,0.35,0.8,1.15,0.54,0.54,1.08,kk
0.61,0.27,0.88,0.6,0.2,0.8,0.25,0.2,0.45,kk
0.09,0,0.09,0.18,0,0.18,0.26,0,0.26,dd
0.01,0.12,0.13,0.05,0.16,0.21,0.02,0.13,0.15,dd
0.11,0.01,0.12,0.22,0.03,0.25,0.09,0.01,0.1,dd
0.13,0.19,0.32,0.09,0.12,0.21,0.04,0.08,0.12,rh
0,0,0,0,0,0,0,0,0,rh
0,0,0,0,0,0,0,0.03,0.03,dd
0.19,0.78,0.97,0.22,0.75,0.97,0.08,0.61,0.69,kk
0.01,0.03,0.04,0.01,0.02,0.03,0,0,0,rh
0,0,0,0,0,0,0,0,0,rh
0.44,0.36,0.8,0.44,0.37,0.81,0.27,0.3,0.57,rh
0.13,0.15,0.28,0.2,0.14,0.34,0.1,0.07,0.17,dd
0.04,0,0.04,0.07,0,0.07,0.01,0,0.01,dd
0,0,0,0,0,0,0,0,0,kk
0,0,0,0,0,0,0,0,0,kk
0,0,0,0,0.11,0.11,0,0.15,0.15,rh
0,0,0,0,0,0,0,0,0,rh
0,0,0,0,0,0,0,0,0,rh
0,0,0,0,0,0,0,0,0,kk
0,0,0,0,0,0,0,0,0,kk
0,0,0,0,0,0,0,0,0,dd
0,0,0,0,0,0,0,0,0,dd
0.03,0.14,0.17,0.06,0.16,0.22,0.09,0.07,0.16,kk
0.34,0.47,0.81,0.31,0.41,0.72,0.13,0.13,0.26,rh
0,0,0,0,0,0,0.01,0,0.01,rh
0,0,0,0,0,0,0,0,0,dd
0,0,0,0,0,0,0,0,0,dd
0,0.76,0.76,0,0.67,0.67,0,0.22,0.22,rh
0.45,0.19,0.64,0.42,0.18,0.6,0.22,0.07,0.29,kk
0.03,0,0.03,0.08,0,0.08,0.11,0,0.11,kk
0,0,0,0,0,0,0,0,0,rh
0,0,0,0,0,0,0,0,0,rh
0,0,0,0,0,0,0,0,0,dd
0,0,0,0,0,0,0,0,0,dd
0,0,0,0,0,0,0,0,0,rh
0,0,0,0,0,0,0,0,0,rh
0,0,0,0,0,0,0,0,0,dd
0,0,0,0,0,0,0,0,0,dd
0,0.08,0.08,0.01,0.19,0.2,0,0.02,0.02,dd
0,0,0,0.01,0.01,0.02,0,0,0,rh
0.11,0.01,0.12,0.09,0,0.09,0,0,0,rh
0.01,0.17,0.18,0,0.32,0.32,0,0.32,0.32,kk
0,0,0,0.04,0,0.04,0.07,0,0.07,kk
0,0.04,0.04,0,0.08,0.08,0,0,0,dd
0,0,0,0.03,0,0.03,0,0,0,dd
0.07,0.01,0.08,0.06,0.02,0.08,0,0,0,rh
0,0,0,0,0.01,0.01,0,0,0,rh
0,0,0,0,0,0,0,0,0,rh
0,0,0,0,0,0,0,0,0,dd
0,0,0,0,0.04,0.04,0,0.04,0.04,dd